TestItem,Error_code,
Info_CheckDUT,ATE_NG
Read_MLB_SN,ATE_NG,
Read_MLB_R_Side,ATE_NG,
Read_NVM_5100,ATE_NG,
Check_Fuse,ATE_NG,
Enable-HWID,ATE_NG,
Read_Surimi_OTP_Version,ATE_NG,
Read_MTK_FW_Version,ATE_NG,
Read-Bundle_Version,ATE_NG,
Read-NTC_Temperature,ATE_NG,
ReadDUTHWID,ATE_NG,
Disable-HWID,ATE_NG,
BDA_Test,ATE_NG,
Read_Color_ID,ATE_NG,
Check_Syscfg_Dump,ATE_NG,
Read-FW_Version,ATE_NG,
Read-HW_Version,ATE_NG,
Read_MT_EREG_CID,ATE_NG,
Read_MT_SFlash_ID,ATE_NG,
Read_MT_Dummy_BT_Address,ATE_NG,
scan_resistance_slot1,ATE_NG,
scan_resistance_slot2,ATE_NG,
scan_voltage,ATE_NG,
Measure_Impedance_PP_VBUS_USBC_To_GND,ATE_NG,
Measure_Impedance_PP_VBUS_RVP_To_GND,ATE_NG,
Measure_Impedance_PP_VBUS_OUT_To_GND,ATE_NG,
Measure_Impedance_PP_VBUS_CONN_To_GND,ATE_NG,
Measure_Impedance_PP_VBATP_CON_To_GND,ATE_NG,
Measure_Impedance_PP1V2_BUCK_OUT_To_GND,ATE_NG,
Measure_Impedance_PP_PMID_CHG_To_GND,ATE_NG,
Measure_Impedance_PP_VSYS_CHG_To_GND,ATE_NG,
Measure_Impedance_PP_CHG_REGN_LDO_To_GND,ATE_NG,
Measure_Impedance_PP_VBUS_HB_To_GND,ATE_NG,
Measure_Impedance_PP1V8_SUR_TON_RIGHT_To_GND,ATE_NG,
Measure_Impedance_PP1V8_SUR_TON_LEFT_To_GND,ATE_NG,
Measure_Impedance_PP_LP5811_BOOST_To_GND,ATE_NG,
Measure_Impedance_PP_VCHG_IN_To_GND,ATE_NG,
Measure_Impedance_PP_VBAT_To_GND,ATE_NG,
Measure_Impedance_PP_VSYS_To_GND,ATE_NG,
Measure_Impedance_PP_VAUD_To_GND,ATE_NG,
Measure_Impedance_PP1V8_VIO_To_GND,ATE_NG,
Measure_Impedance_PP1V8_VDIG18_To_GND,ATE_NG,
Measure_Impedance_PP3V1_VDD31_To_GND,ATE_NG,
Measure_Impedance_PP1V8_VA18_To_GND,ATE_NG,
Measure_Impedance_PP_VPA_To_GND,ATE_NG,
Measure_Impedance_PP_DVDD_MLDO_To_GND,ATE_NG,
Measure_Impedance_FSOURCE_D_To_GND,ATE_NG,
Measure_Impedance_PP_VOX_CLK_To_GND,ATE_NG,
Measure_Impedance_PP_VOX_DAT_To_GND,ATE_NG,
Measure_Impedance_PDM_CLK_FF1_FB_To_GND,ATE_NG,
Measure_Impedance_PDM_DAT_FF1_FB_To_GND,ATE_NG,
Measure_Impedance_PDM_CLK_FF2_FF3_To_GND,ATE_NG,
Measure_Impedance_PDM_DAT_FF2_FF3_To_GND,ATE_NG,
Measure_Impedance_PP_VDD_To_GND,ATE_NG,
Measure_Impedance_CC1_To_GND,ATE_NG,
Measure_Impedance_CC2_To_GND,ATE_NG,
Measure_Impedance_PP_VCORE_To_GND,ATE_NG,
Measure_Impedance_PP_VRF_IN_To_GND,ATE_NG,
Measure_Impedance_PP_VRTC_To_GND,ATE_NG,
Measure_Impedance_PP_VSRAM_To_GND,ATE_NG,
Measure_Voltage_PP_VBUS_USBC_To_GND,ATE_NG,
Measure_Voltage_PP_VBUS_RVP_To_GND,ATE_NG,
Measure_Voltage_PP_VBUS_OUT_To_GND,ATE_NG,
Measure_Voltage_PP_VBUS_CONN_To_GND,ATE_NG,
Measure_Voltage_PP_VBAT_CON_To_GND,ATE_NG,
Measure_Voltage_PP1V2_BUCK_OUT_To_GND,ATE_NG,
Measure_Voltage_PP_PMID_CHG_To_GND,ATE_NG,
Measure_Voltage_PP_VSYS_CHG_To_GND,ATE_NG,
Measure_Voltage_PP_CHG_REGN_LDO_To_GND,ATE_NG,
Measure_Voltage_PP_VBUS_HB_To_GND,ATE_NG,
Measure_Voltage_PP1V8_SUR_TON_RIGHT_To_GND,ATE_NG,
Measure_Voltage_PP1V8_SUR_TON_LEFT_To_GND,ATE_NG,
Measure_Voltage_PP_LP5811_BOOST_To_GND,ATE_NG,
Measure_Voltage_PP_VCHG_IN_To_GND,ATE_NG,
Measure_Voltage_PP_VBAT_To_GND,ATE_NG,
Measure_Voltage_PP_VSYS_To_GND,ATE_NG,
Measure_Voltage_PP_VAUD_To_GND,ATE_NG,
Measure_Voltage_PP1V8_VIO_To_GND,ATE_NG,
Measure_Voltage_PP1V8_VDIG18_To_GND,ATE_NG,
Measure_Voltage_PP3V1_VDD31_To_GND,ATE_NG,
Measure_Voltage_PP1V8_VA18_To_GND,ATE_NG,
Measure_Voltage_PP_VPA_To_GND,ATE_NG,
Measure_Voltage_PP_DVDD_MLDO_To_GND,ATE_NG,
Measure_Voltage_FSOURCE_D_To_GND,ATE_NG,
Measure_Voltage_PP_VOX_CLK_To_GND,ATE_NG,
Measure_Voltage_PP_VOX_DAT_To_GND,ATE_NG,
Measure_Voltage_PDM_CLK_FF1_FB_To_GND,ATE_NG,
Measure_Voltage_PDM_DAT_FF1_FB_To_GND,ATE_NG,
Measure_Voltage_PDM_CLK_FF2_FF3_To_GND,ATE_NG,
Measure_Voltage_PDM_DAT_FF2_FF3_To_GND,ATE_NG,
Measure_Voltage_PP_VDD_To_GND,ATE_NG,
Measure_Voltage_CC1_To_GND,ATE_NG,
Measure_Voltage_CC2_To_GND,ATE_NG,
Measure_Voltage_PP_VCORE_To_GND,ATE_NG,
Measure_Voltage_PP_VRF_IN_To_GND,ATE_NG,
Measure_Voltage_PP_VRTC_To_GND,ATE_NG,
Measure_Voltage_PP_VSRAM_To_GND,ATE_NG,
