SubTestName,LowerLimit,UpperLimit,Unit,Visible
Info_CheckDUT,PASSED,PASSED,,Y
Read_MLB_SN,PASSED,PASSED,,Y
Check_USB_Ready,PASSED,PASSED,,Y
Enter-Factory_Mode,055b03003f0100,,,Y
Set-Fuel_Gauge_Service_Disable,PASSED,PASSED,,Y
Set-Charger_Service_Disable,PASSED,PASSED,,Y
Set-Turn_Off_APP_LED,PASSED,PASSED,,Y
Enable-HWID,PASSED,PASSED,,Y
Read_NVM_5100,,,,Y
Check_Fuse,,,,Y
Read_Surimi_OTP_Version,4A136,4A136,,Y
Read_MTK_FW_Version,MT2851_SDK_V1.0.0.ER25,MT2851_SDK_V1.0.0.ER25,,Y
Read-Bundle_Version,,,,Y
Read-NTC_Temperature,,,,Y
ReadDUTHWID,,,,Y
Read-HWID_Voltage_EAUXADC,1000,1250,mV,Y
Disable-HWID,PASSED,PASSED,,Y
BDA_Test,,,,Y
Read_Color_ID,,,,Y
Check_Syscfg_Dump,,,,Y
Read-FW_Version,,,,Y
Read-HW_Version,,,,Y
Read_MT_EREG_CID,,,,Y
Read_MT_SFlash_ID,,,,Y
Read_MT_Dummy_BT_Address,,,,Y
scan_resistance_slot1,,,,Y
scan_resistance_slot2,,,,Y
scan_voltage,,,,Y
Measure_Impedance_PP_VBUS_USBC_To_GND,1000,,Ω,Y
Measure_Impedance_PP_VBUS_RVP_To_GND,1000,,Ω,Y
Measure_Impedance_PP_VBUS_OUT_To_GND,1000,,Ω,Y
Measure_Impedance_PP_VBUS_CONN_To_GND,1000,,Ω,Y
Measure_Impedance_PP_VBATP_CON_To_GND,1000,,Ω,Y
Measure_Impedance_PP1V2_BUCK_OUT_To_GND,1000,,Ω,Y
Measure_Impedance_PP_PMID_CHG_To_GND,1000,,Ω,Y
Measure_Impedance_PP_VSYS_CHG_To_GND,1000,,Ω,Y
Measure_Impedance_PP_CHG_REGN_LDO_To_GND,1000,,Ω,Y
Measure_Impedance_PP_VBUS_HB_To_GND,1000,,Ω,Y
Measure_Impedance_PP1V8_SUR_TON_RIGHT_To_GND,1000,,Ω,Y
Measure_Impedance_PP1V8_SUR_TON_LEFT_To_GND,1000,,Ω,Y
Measure_Impedance_PP_LP5811_BOOST_To_GND,1000,,Ω,Y
Measure_Impedance_PP_VCHG_IN_To_GND,1000,,Ω,Y
Measure_Impedance_PP_VBAT_To_GND,1000,,Ω,Y
Measure_Impedance_PP_VSYS_To_GND,1000,,Ω,Y
Measure_Impedance_PP_VAUD_To_GND,1000,,Ω,Y
