TestName,Function,SubTestName,Running,config


Connect_DUT,Info_CheckDUT,Info_CheckDUT,Y,
DUTInfo,Read_ASCII_CMD,Read_MLB_SN,Y,('hex_cmd':'055a060010804d4c42230D0A','set_attr':'MLBSN','regex':'MLB\W\.+(\w+)','group':'1')
DUTInfo,Check_USB_Ready,Check_USB_Ready,Y,
VoltageCheck_OVP,Read_HEX_CMD,Enter-Factory_Mode,Y,('hex_cmd':'055a03003f01010D0A')
DUTInfo,Check_R_L_board,Check_R_L_board,Y,
DUTInfo,Enable_HWID,Enable-HWID,Y,
DUTInfo,Read_ASCII_CMD,Read_NVM_5100,Y,('hex_cmd':'055A0400008100510D0A',"delay":"0.5")
DUTInfo,Read_ASCII_CMD,Check_Fuse,Y,('hex_cmd':'055a02000c800D0A')
DUTInfo,Read_ASCII_CMD,Read_Surimi_OTP_Version,Y,('hex_cmd':'055a06001080537572560D0A','regex':'\.\[\.{4}(.+)\.{4}','group':'1')
DUTInfo,Read_ASCII_CMD,Read_MTK_FW_Version,Y,('hex_cmd':'055a020001030D0A','regex':'\.\[\.{5}(.+)\.','group':'1')
DUTInfo,Read_ASCII_CMD,Read-Bundle_Version,Y,('hex_cmd':'055a020009800D0A','regex':'\.\[\.*\w\.*(\w+)','group':'1')
DUTInfo,Read_ASCII_CMD,Read-NTC_Temperature,Y,('hex_cmd':'055a1400920f41542b45504d555245473d4155582c350D0A','regex':'\.\.(\w+)\.\.','group':'1')
DUTInfo,Read_ASCII_CMD,ReadDUTHWID,Y,('hex_cmd':'055A1200920F41542B454155584144433D312C310D0A','regex':'hw_id\s\W\s(\w+)','group':'1','delay':'1')
DUTInfo,Disable_HWID,Disable-HWID,Y,
DUTInfo,Read_ASCII_CMD,BDA_Test,Y,('hex_cmd':'055A06001080424D61630D0A','regex':'\.\[\.{4}(\w+)\.+','group':'1')
DUTInfo,Read_ASCII_CMD,Read_Color_ID,Y,('hex_cmd':'055A06001080434C48530D0A','regex':'\.\[\.{4}(\w+)\.+','group':'1')
DUTInfo,Read_ASCII_CMD,Check_Syscfg_Dump,Y,('hex_cmd':'055A060010802A2A2A2A0D0A','regex':'BLUE\.+(\w+\W+\w+)\.*','group':'1')
DUTInfo,Read_ASCII_CMD,Read-FW_Version,Y,('hex_cmd':'055a0400008153510D0A','regex':'\.\[\.{5}(\S+)\.{3}','group':'1')
DUTInfo,Read_ASCII_CMD,Read-HW_Version,Y,('hex_cmd':'055a0400008153510D0A','regex':'\.\[\.{5}(\S+)\.{3}','group':'1')
DUTInfo,Read_ASCII_CMD,Read_MT_EREG_CID,Y,('hex_cmd':'055a1800920f41542b455245473d302c307834323043303230380D0A','regex':'\+EREG\s\w+:(\S+)\.{2}\w+\.{2}','group':'1')
DUTInfo,Read_ASCII_CMD,Read_MT_SFlash_ID,Y,('hex_cmd':'055a1000920f41542b53464c4153483d49440D0A','regex':'\SSFLASH:(\S+)\.{2}\S+\.+','group':'1')
DUTInfo,Read_ASCII_CMD,Read_MT_Dummy_BT_Address,Y,('hex_cmd':'055a1600920f41542b424c414444523d4745540D0A','regex':'\SGet\Waddrss:(\S+)\.{2}\S+\.+','group':'1')
